"NMFS_DNA_ID","category","life_stage","collection_location","group_name","pipe_name"
"AM000194","non-reference","non-juvenile","Bycatch","nnByc","nnByc194"
"AM000197","non-reference","non-juvenile","Bycatch","nnByc","nnByc197"
"AM000198","non-reference","non-juvenile","Bycatch","nnByc","nnByc198"
"AM000199","non-reference","non-juvenile","Bycatch","nnByc","nnByc199"
"AM000200","non-reference","non-juvenile","Bycatch","nnByc","nnByc200"
"AM000201","non-reference","non-juvenile","Bycatch","nnByc","nnByc201"
"AM000202","non-reference","non-juvenile","Bycatch","nnByc","nnByc202"
"AM000203","non-reference","non-juvenile","Bycatch","nnByc","nnByc203"
"AM000204","non-reference","non-juvenile","Bycatch","nnByc","nnByc204"
"AM000205","non-reference","non-juvenile","Bycatch","nnByc","nnByc205"
"AM000206","non-reference","non-juvenile","Bycatch","nnByc","nnByc206"
"AM000207","non-reference","non-juvenile","Bycatch","nnByc","nnByc207"
"AM000208","non-reference","non-juvenile","Bycatch","nnByc","nnByc208"
"AM000209","non-reference","non-juvenile","Bycatch","nnByc","nnByc209"
"AM000210","non-reference","non-juvenile","Bycatch","nnByc","nnByc210"
"AM000211","non-reference","non-juvenile","Bycatch","nnByc","nnByc211"
"AM000212","non-reference","non-juvenile","Bycatch","nnByc","nnByc212"
"AM000213","non-reference","non-juvenile","Bycatch","nnByc","nnByc213"
"AM000214","non-reference","non-juvenile","Bycatch","nnByc","nnByc214"
"AM000215","non-reference","non-juvenile","Bycatch","nnByc","nnByc215"
"AM000216","non-reference","non-juvenile","Bycatch","nnByc","nnByc216"
"AM000217","non-reference","non-juvenile","Bycatch","nnByc","nnByc217"
"AM000218","non-reference","non-juvenile","Bycatch","nnByc","nnByc218"
"AM000219","non-reference","non-juvenile","Bycatch","nnByc","nnByc219"
"AM000220","non-reference","non-juvenile","Bycatch","nnByc","nnByc220"
"AM000221","non-reference","non-juvenile","Bycatch","nnByc","nnByc221"
"AM000222","non-reference","non-juvenile","Bycatch","nnByc","nnByc222"
"AM000223","non-reference","non-juvenile","Bycatch","nnByc","nnByc223"
"AM000224","non-reference","non-juvenile","Bycatch","nnByc","nnByc224"
"AM000225","non-reference","non-juvenile","Bycatch","nnByc","nnByc225"
"AM000226","non-reference","non-juvenile","Bycatch","nnByc","nnByc226"
"AM000227","non-reference","non-juvenile","Bycatch","nnByc","nnByc227"
"AM000228","non-reference","non-juvenile","Bycatch","nnByc","nnByc228"
"AM000229","non-reference","non-juvenile","Bycatch","nnByc","nnByc229"
"AM000230","non-reference","non-juvenile","Bycatch","nnByc","nnByc230"
"AM000231","non-reference","non-juvenile","Bycatch","nnByc","nnByc231"
"AM000232","non-reference","non-juvenile","Bycatch","nnByc","nnByc232"
"AM000233","non-reference","non-juvenile","Bycatch","nnByc","nnByc233"
"AM000234","non-reference","non-juvenile","Bycatch","nnByc","nnByc234"
"AM000235","non-reference","non-juvenile","Bycatch","nnByc","nnByc235"
"AM000236","non-reference","non-juvenile","Bycatch","nnByc","nnByc236"
"AM000237","non-reference","non-juvenile","Bycatch","nnByc","nnByc237"
"AM000238","non-reference","non-juvenile","Bycatch","nnByc","nnByc238"
"AM000239","non-reference","non-juvenile","Bycatch","nnByc","nnByc239"
"AM000240","non-reference","non-juvenile","Bycatch","nnByc","nnByc240"
"AM000241","non-reference","non-juvenile","Bycatch","nnByc","nnByc241"
"AM000242","non-reference","non-juvenile","Bycatch","nnByc","nnByc242"
"AM000243","non-reference","non-juvenile","Bycatch","nnByc","nnByc243"
"AM000244","non-reference","non-juvenile","Bycatch","nnByc","nnByc244"
"AM000245","non-reference","non-juvenile","Bycatch","nnByc","nnByc245"
"AM000246","non-reference","non-juvenile","Bycatch","nnByc","nnByc246"
"AM000247","non-reference","non-juvenile","Bycatch","nnByc","nnByc247"
"AM000248","non-reference","non-juvenile","Bycatch","nnByc","nnByc248"
"AM000249","non-reference","non-juvenile","Bycatch","nnByc","nnByc249"
"AM000250","non-reference","non-juvenile","Bycatch","nnByc","nnByc250"
"AM000251","non-reference","non-juvenile","Bycatch","nnByc","nnByc251"
"AM000252","non-reference","non-juvenile","Bycatch","nnByc","nnByc252"
"AM000253","non-reference","non-juvenile","Bycatch","nnByc","nnByc253"
"AM000254","non-reference","non-juvenile","Bycatch","nnByc","nnByc254"
"AM000255","non-reference","non-juvenile","Bycatch","nnByc","nnByc255"
"AM000258","non-reference","non-juvenile","Bycatch","nnByc","nnByc258"
"AM000259","non-reference","non-juvenile","Bycatch","nnByc","nnByc259"
"AM000260","non-reference","non-juvenile","Bycatch","nnByc","nnByc260"
"AM000261","non-reference","non-juvenile","Bycatch","nnByc","nnByc261"
"AM000262","non-reference","non-juvenile","Bycatch","nnByc","nnByc262"
"AM000263","non-reference","non-juvenile","Bycatch","nnByc","nnByc263"
"AM000264","non-reference","non-juvenile","Bycatch","nnByc","nnByc264"
"AM000265","non-reference","non-juvenile","Bycatch","nnByc","nnByc265"
"AM000266","non-reference","non-juvenile","Bycatch","nnByc","nnByc266"
"AM000267","non-reference","non-juvenile","Bycatch","nnByc","nnByc267"
"AM000269","non-reference","non-juvenile","Bycatch","nnByc","nnByc269"
"AM000270","non-reference","non-juvenile","Bycatch","nnByc","nnByc270"
"AM000271","non-reference","non-juvenile","Bycatch","nnByc","nnByc271"
"AM000272","non-reference","non-juvenile","Bycatch","nnByc","nnByc272"
"AM000273","non-reference","non-juvenile","Bycatch","nnByc","nnByc273"
"AM000274","non-reference","non-juvenile","Bycatch","nnByc","nnByc274"
"AM000275","non-reference","non-juvenile","Bycatch","nnByc","nnByc275"
"AM000276","non-reference","non-juvenile","Bycatch","nnByc","nnByc276"
"AM000278","non-reference","non-juvenile","Bycatch","nnByc","nnByc278"
"AM000279","non-reference","non-juvenile","Bycatch","nnByc","nnByc279"
"AM000280","non-reference","non-juvenile","Bycatch","nnByc","nnByc280"
"AM000281","non-reference","non-juvenile","Bycatch","nnByc","nnByc281"
"AM000282","non-reference","non-juvenile","Bycatch","nnByc","nnByc282"
"AM000283","non-reference","non-juvenile","Bycatch","nnByc","nnByc283"
"AM000284","non-reference","non-juvenile","Bycatch","nnByc","nnByc284"
"AM000285","non-reference","non-juvenile","Bycatch","nnByc","nnByc285"
"AM000286","non-reference","non-juvenile","Bycatch","nnByc","nnByc286"
"AM000287","non-reference","non-juvenile","Bycatch","nnByc","nnByc287"
"AM000288","non-reference","non-juvenile","Bycatch","nnByc","nnByc288"
"AM000289","reference","juvenile","Sacramento River","rjSac","rjSac289"
"AM000290","reference","juvenile","Sacramento River","rjSac","rjSac290"
"AM000291","reference","juvenile","Sacramento River","rjSac","rjSac291"
"AM000292","reference","juvenile","Sacramento River","rjSac","rjSac292"
"AM000293","reference","juvenile","Sacramento River","rjSac","rjSac293"
"AM000294","reference","juvenile","Sacramento River","rjSac","rjSac294"
"AM000295","reference","juvenile","Sacramento River","rjSac","rjSac295"
"AM000296","reference","juvenile","Sacramento River","rjSac","rjSac296"
"AM000297","reference","juvenile","Sacramento River","rjSac","rjSac297"
"AM000298","reference","juvenile","Sacramento River","rjSac","rjSac298"
"AM000299","reference","juvenile","Sacramento River","rjSac","rjSac299"
"AM000300","reference","juvenile","Sacramento River","rjSac","rjSac300"
"AM000301","reference","juvenile","Sacramento River","rjSac","rjSac301"
